epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,1388.06,0.4118,0.23619,0.79971,0.99788,1,0.995,0.92883,0.37593,0.19752,0.7933,0.000676802,0.000676802,0.000676802
62,1411.82,0.41505,0.24375,0.80048,1,0.99984,0.995,0.93305,0.38516,0.2003,0.79686,0.000660299,0.000660299,0.000660299
63,1434.78,0.40309,0.23335,0.8009,0.99982,1,0.995,0.93466,0.37843,0.19672,0.7945,0.000643795,0.000643795,0.000643795
64,1457.63,0.41183,0.23469,0.79958,0.99989,1,0.995,0.93451,0.38581,0.19728,0.79517,0.000627292,0.000627292,0.000627292
65,1481.32,0.41,0.23695,0.79495,0.99994,1,0.995,0.92885,0.40926,0.19793,0.80088,0.000610789,0.000610789,0.000610789
66,1506.4,0.40402,0.22966,0.79361,1,0.9999,0.995,0.93296,0.3805,0.19187,0.79579,0.000594286,0.000594286,0.000594286
67,1528.89,0.39638,0.22699,0.79443,0.99996,1,0.995,0.9384,0.37457,0.19253,0.79555,0.000577782,0.000577782,0.000577782
68,1551.93,0.40508,0.23832,0.79349,0.99987,0.99808,0.995,0.93401,0.38404,0.19545,0.79586,0.000561279,0.000561279,0.000561279
69,1574.73,0.39732,0.22987,0.795,0.99995,1,0.995,0.9413,0.36584,0.18848,0.79312,0.000544776,0.000544776,0.000544776
70,1598.21,0.38738,0.22291,0.79362,0.99984,1,0.995,0.93347,0.36948,0.18912,0.79391,0.000528272,0.000528272,0.000528272
71,1621.76,0.40548,0.22612,0.79855,0.99989,1,0.995,0.93713,0.37226,0.18944,0.79373,0.000511769,0.000511769,0.000511769
72,1644.7,0.38063,0.21874,0.79474,1,0.99976,0.995,0.92469,0.40286,0.19627,0.79826,0.000495266,0.000495266,0.000495266
73,1667.9,0.39049,0.22288,0.79835,0.99985,1,0.995,0.93905,0.36592,0.18189,0.7936,0.000478762,0.000478762,0.000478762
74,1691.81,0.38342,0.21604,0.79032,1,0.99804,0.995,0.92669,0.38567,0.1916,0.79506,0.000462259,0.000462259,0.000462259
75,1715.92,0.38408,0.21911,0.79735,0.99987,1,0.995,0.93951,0.36993,0.18849,0.79305,0.000445756,0.000445756,0.000445756
76,1739.76,0.38121,0.21687,0.79878,0.99985,1,0.995,0.93741,0.35972,0.18051,0.79154,0.000429253,0.000429253,0.000429253
77,1763.64,0.37627,0.21986,0.79554,0.99994,1,0.995,0.93846,0.36561,0.17898,0.79171,0.000412749,0.000412749,0.000412749
78,1786.86,0.37933,0.2156,0.79446,0.99991,0.99808,0.995,0.93752,0.36781,0.18189,0.79231,0.000396246,0.000396246,0.000396246
79,1809.9,0.38264,0.21659,0.79905,0.9999,1,0.995,0.93544,0.36605,0.18361,0.7916,0.000379743,0.000379743,0.000379743
80,1833.01,0.37344,0.21575,0.79264,0.99987,1,0.995,0.93615,0.36901,0.18343,0.79162,0.000363239,0.000363239,0.000363239
81,1856.42,0.37268,0.2119,0.79459,0.99987,1,0.995,0.93403,0.37511,0.18757,0.79226,0.000346736,0.000346736,0.000346736
